MET,H,P,Q,R,S,SH,SU,DS,AO,AF,MA,TH
116.52,45046,-559174,88309,645046,2373,2371,92,1707.08,73.8,-2.69,69,0
116.64,45140,-559054,88490,645140,2373,2371,92,1705.95,73.8,-2.69,69,0
116.76,45233,-559081,88450,645233,2372,2371,93,1705.39,73.7,-2.68,69,0
116.88,45327,-559077,88453,645327,2372,2370,93,1704.71,73.6,-2.68,69,0
117,45420,-559056,88436,645420,2372,2370,93,1703.81,73.5,-2.68,69,0
117.12,45513,-559078,88451,645513,2371,2370,93,1703.4,73.3,-2.67,69,0
117.24,45607,-559079,88451,645607,2371,2369,94,1702.75,73.1,-2.66,69,0
117.36,45700,-559057,88433,645700,2371,2369,94,1701.85,73,-2.65,69,0
117.48,45792,-559080,88450,645792,2370,2368,94,1701.46,72.7,-2.63,69,0
117.6,45885,-559080,88449,645885,2370,2368,94,1700.81,72.4,-2.62,69,0
117.72,45978,-559081,88450,645978,2370,2368,94,1700.18,72.1,-2.61,69,0
117.84,46070,-559081,88449,646070,2369,2367,95,1699.52,71.7,-2.59,69,0
117.96,46163,-559080,88447,646163,2369,2367,95,1698.87,71.3,-2.57,69,0
118.08,46255,-559082,88447,646255,2369,2367,95,1698.24,71,-2.55,69,0
118.2,46347,-559082,88446,646347,2368,2366,95,1697.6,70.5,-2.53,69,0
118.32,46440,-559082,88445,646440,2368,2366,95,1696.95,70,-2.5,69,0
118.44,46532,-559084,88447,646532,2368,2366,96,1696.35,69.5,-2.48,69,0
118.56,46623,-559083,88444,646623,2367,2365,96,1695.69,69,-2.45,69,0
118.68,46715,-559082,88442,646715,2367,2365,96,1695.04,68.4,-2.42,69,0
118.8,46807,-559082,88441,646807,2367,2365,96,1694.41,67.8,-2.39,69,0
118.92,46899,-559084,88441,646899,2366,2364,96,1693.79,67.1,-2.36,69,0
119.04,46990,-559082,88439,646990,2366,2364,97,1693.15,66.5,-2.33,69,0
119.16,47081,-559084,88438,647081,2366,2364,97,1692.53,65.8,-2.29,69,0
119.28,47173,-559085,88439,647173,2365,2363,97,1691.92,65,-2.25,69,0
119.4,47264,-559085,88437,647264,2365,2363,97,1691.29,64.3,-2.21,69,0
119.52,47355,-559084,88435,647355,2365,2363,97,1690.66,63.5,-2.17,69,0
119.64,47446,-559085,88434,647446,2364,2362,98,1690.04,62.6,-2.13,69,0
119.76,47536,-559095,88446,647536,2364,2362,98,1689.55,61.9,-2.09,69,0
119.88,47627,-559095,88444,647627,2364,2362,98,1688.92,61,-2.05,69,0
120,47718,-559093,88441,647718,2363,2361,98,1688.28,60.2,-2.01,69,0
120.12,47808,-559092,88438,647808,2363,2361,98,1687.65,59.4,-1.97,69,0
120.24,47898,-559093,88438,647898,2363,2361,98,1687.04,58.5,-1.93,69,0
120.36,47989,-559093,88437,647989,2363,2360,99,1686.43,57.7,-1.88,69,0
120.48,48079,-559092,88435,648079,2362,2360,99,1685.8,56.8,-1.84,69,0
120.6,48169,-559093,88435,648169,2362,2360,99,1685.2,55.9,-1.8,69,0
120.72,48259,-559092,88433,648259,2362,2359,99,1684.58,55,-1.75,69,0
120.84,48348,-559091,88431,648348,2361,2359,99,1683.96,54.1,-1.71,69,0
120.96,48438,-559091,88429,648438,2361,2359,99,1683.35,53.2,-1.66,69,0
121.08,48528,-559089,88426,648528,2361,2359,100,1682.72,52.3,-1.62,69,0
121.2,48617,-559089,88424,648617,2360,2358,100,1682.11,51.4,-1.57,69,0
121.32,48707,-559089,88422,648707,2360,2358,100,1681.5,50.5,-1.53,69,0
121.44,48796,-559083,88410,648796,2360,2358,100,1680.82,49.6,-1.48,69,0
121.56,48885,-559082,88407,648885,2359,2357,100,1680.2,48.7,-1.43,69,0
121.68,48974,-559083,88407,648974,2359,2357,100,1679.61,47.8,-1.39,69,0
121.8,49063,-559082,88404,649063,2359,2357,101,1679,46.9,-1.34,69,0
121.92,49152,-559082,88403,649152,2358,2356,101,1678.4,45.9,-1.3,69,0
122.04,49240,-559083,88402,649240,2358,2356,101,1677.82,45,-1.25,69,0
122.16,49329,-559082,88401,649329,2358,2356,101,1677.22,44.1,-1.21,69,0
122.28,49417,-559081,88396,649417,2357,2355,101,1676.6,43.2,-1.16,69,0
122.4,49506,-559078,88386,649506,2357,2355,101,1675.96,42.4,-1.12,69,0
122.52,49594,-559081,88393,649594,2357,2355,101,1675.42,41.5,-1.07,69,0
122.64,49682,-559080,88389,649682,2357,2354,102,1674.81,40.5,-1.03,69,0
122.76,49770,-559078,88382,649770,2356,2354,102,1674.19,39.7,-0.98,69,0
122.88,49858,-559079,88382,649858,2356,2354,102,1673.62,38.8,-0.94,69,0
123,49946,-559080,88385,649946,2356,2353,102,1673.06,37.9,-0.9,69,0
123.12,50034,-559079,88380,650034,2355,2353,102,1672.46,37,-0.85,69,0
123.24,50121,-559078,88374,650121,2355,2353,102,1671.85,36.2,-0.81,69,0
123.36,50209,-559076,88364,650209,2355,2352,102,1671.23,35.3,-0.76,69,0
123.48,50296,-559076,88360,650296,2354,2352,103,1670.63,34.4,-0.72,69,0
123.6,50384,-559076,88356,650384,2354,2352,103,1670.05,33.5,-0.67,69,0
123.72,50471,-559076,88355,650471,2354,2351,103,1669.47,32.6,-0.63,69,0
123.84,50558,-559076,88354,650558,2353,2351,103,1668.91,31.6,-0.58,69,0
123.96,50645,-559077,88353,650645,2353,2351,103,1668.34,30.7,-0.54,69,0
124.08,50732,-559077,88358,650732,2353,2351,103,1667.79,29.8,-0.49,69,0
124.2,50818,-559078,88359,650818,2352,2350,103,1667.23,28.9,-0.45,69,0
124.32,50905,-559078,88355,650905,2352,2350,103,1666.65,28,-0.4,69,0
124.44,50992,-559079,88363,650992,2352,2350,104,1666.13,27.1,-0.36,69,0
124.56,51078,-559078,88351,651078,2352,2349,104,1665.52,26.2,-0.31,69,0
124.68,51164,-559078,88350,651164,2351,2349,104,1664.95,25.3,-0.26,69,0
124.8,51250,-559078,88347,651250,2351,2349,104,1664.38,24.4,-0.22,69,0
124.92,51337,-559078,88339,651337,2351,2348,104,1663.8,23.6,-0.18,69,0
125.04,51423,-559079,88356,651423,2350,2348,104,1663.3,22.7,-0.13,69,0
125.16,51508,-559078,88342,651508,2350,2348,104,1662.7,21.8,-0.09,69,0
125.28,51594,-559078,88338,651594,2350,2347,104,1662.13,20.9,-0.05,69,0
125.4,51680,-559079,88333,651680,2349,2347,105,1661.56,20.1,0,69,0
125.52,51765,-559079,88331,651765,2349,2347,105,1661,19.2,0.04,69,19
125.64,51851,-559013,88322,651851,2349,2346,105,1659.83,18.3,0.08,69,41
125.76,51936,-558740,88353,651936,2349,2346,105,1656.94,17.3,0.13,69,64
